# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  34800      9.20e-01    1.12e+00      2.05e-03    5.56e-04      3.39e-02    4.12e-02    7.4e-04
  35000      1.19e+00    1.02e+00      2.38e-02    2.04e-02      4.48e-02    3.82e-02    7.0e-04
  35200      9.76e-01    1.29e+00      2.88e-02    2.62e-02      3.64e-02    4.84e-02    7.0e-04
  35400      1.08e+00    9.89e-01      1.44e-04    2.49e-03      4.09e-02    3.74e-02    7.0e-04
  35600      9.92e-01    7.94e-01      3.28e-02    3.20e-02      3.69e-02    2.93e-02    7.0e-04
  35800      1.12e+00    9.28e-01      1.49e-02    1.44e-02      4.23e-02    3.50e-02    7.0e-04
  36000      1.05e+00    1.11e+00      4.36e-02    4.33e-02      3.87e-02    4.09e-02    7.0e-04
  36200      1.20e+00    1.33e+00      4.57e-02    4.65e-02      4.43e-02    4.93e-02    7.0e-04
  36400      1.71e+00    1.59e+00      9.08e-02    9.05e-02      6.19e-02    5.70e-02    7.0e-04
  36600      1.01e+00    1.02e+00      2.21e-02    2.05e-02      3.77e-02    3.82e-02    7.0e-04
  36800      1.39e+00    1.25e+00      2.15e-02    2.11e-02      5.23e-02    4.70e-02    7.0e-04
  37000      1.03e+00    1.02e+00      2.27e-02    2.12e-02      3.88e-02    3.85e-02    7.0e-04
  37200      1.28e+00    1.04e+00      1.27e-03    1.91e-03      4.82e-02    3.93e-02    7.0e-04
  37400      1.01e+00    1.39e+00      1.18e-03    6.26e-04      3.81e-02    5.27e-02    7.0e-04
  37600      1.31e+00    1.05e+00      1.40e-02    1.57e-02      4.95e-02    3.96e-02    7.0e-04
  37800      9.41e-01    8.83e-01      2.20e-02    2.29e-02      3.53e-02    3.31e-02    7.0e-04
  38000      1.11e+00    1.28e+00      3.50e-02    3.48e-02      4.14e-02    4.78e-02    7.0e-04
  38200      1.00e+00    8.26e-01      3.30e-02    3.18e-02      3.73e-02    3.05e-02    7.0e-04
  38400      9.69e-01    1.30e+00      1.27e-03    8.34e-04      3.67e-02    4.92e-02    7.0e-04
  38600      1.14e+00    9.80e-01      2.41e-02    2.53e-02      4.29e-02    3.67e-02    7.0e-04
  38800      8.85e-01    8.82e-01      6.95e-03    7.62e-03      3.35e-02    3.33e-02    7.0e-04
  39000      1.64e+00    1.65e+00      4.32e-02    4.19e-02      6.14e-02    6.18e-02    7.0e-04
  39200      1.44e+00    1.30e+00      8.39e-02    8.34e-02      5.14e-02    4.60e-02    7.0e-04
  39400      9.20e-01    9.89e-01      2.85e-04    1.01e-02      3.48e-02    3.74e-02    7.0e-04
  39600      9.37e-01    1.15e+00      3.83e-02    3.75e-02      3.45e-02    4.27e-02    7.0e-04
  39800      1.45e+00    1.02e+00      9.13e-03    1.02e-02      5.50e-02    3.85e-02    7.0e-04
  40000      1.25e+00    1.05e+00      3.58e-03    3.43e-03      4.87e-02    4.06e-02    6.6e-04
  40200      1.39e+00    1.34e+00      3.36e-02    3.35e-02      5.32e-02    5.14e-02    6.6e-04
  40400      1.21e+00    9.47e-01      1.96e-02    2.17e-02      4.68e-02    3.64e-02    6.6e-04
  40600      1.10e+00    9.03e-01      9.87e-03    1.03e-02      4.25e-02    3.50e-02    6.6e-04
  40800      1.11e+00    1.18e+00      2.58e-02    2.78e-02      4.27e-02    4.53e-02    6.6e-04
  41000      1.01e+00    1.10e+00      2.09e-02    2.01e-02      3.87e-02    4.25e-02    6.6e-04
  41200      1.05e+00    6.46e-01      3.62e-02    3.60e-02      3.99e-02    2.37e-02    6.6e-04
  41400      1.02e+00    7.91e-01      4.34e-03    5.69e-03      3.95e-02    3.07e-02    6.6e-04
  41600      6.73e-01    6.64e-01      2.87e-02    2.86e-02      2.53e-02    2.49e-02    6.6e-04
  41800      1.04e+00    7.29e-01      9.51e-03    1.19e-02      4.03e-02    2.82e-02    6.6e-04
  42000      9.27e-01    9.23e-01      8.91e-03    9.43e-03      3.59e-02    3.58e-02    6.6e-04
  42200      7.73e-01    9.65e-01      1.10e-02    9.44e-03      2.99e-02    3.74e-02    6.6e-04
  42400      1.97e+00    1.44e+00      4.44e-02    4.47e-02      7.59e-02    5.50e-02    6.6e-04
  42600      1.11e+00    6.95e-01      4.80e-03    5.24e-03      4.31e-02    2.69e-02    6.6e-04
  42800      9.44e-01    7.59e-01      1.68e-02    1.72e-02      3.64e-02    2.92e-02    6.6e-04
  43000      1.22e+00    1.05e+00      3.64e-02    3.58e-02      4.65e-02    3.98e-02    6.6e-04
  43200      1.25e+00    1.13e+00      4.02e-03    4.71e-03      4.86e-02    4.40e-02    6.6e-04
  43400      1.03e+00    6.20e-01      4.81e-03    2.93e-03      4.00e-02    2.41e-02    6.6e-04
  43600      8.92e-01    6.78e-01      3.50e-03    3.78e-03      3.46e-02    2.63e-02    6.6e-04
  43800      1.07e+00    6.62e-01      6.90e-02    6.98e-02      3.85e-02    2.02e-02    6.6e-04
  44000      6.89e-01    9.36e-01      2.58e-02    2.78e-02      2.61e-02    3.58e-02    6.6e-04
  44200      7.92e-01    8.76e-01      1.25e-02    1.35e-02      3.06e-02    3.39e-02    6.6e-04
  44400      1.15e+00    1.06e+00      1.74e-02    1.67e-02      4.43e-02    4.11e-02    6.6e-04
  44600      9.13e-01    7.23e-01      3.57e-02    3.45e-02      3.45e-02    2.69e-02    6.6e-04
